"Sample Date","variable","value","calculated","popUp"
2022-06-24,"Vermont Ave. and 70th St. (PQ100)",0.158,15.8,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-06-24<b>   Observation:</b> 0.158 ng/m3</br></br><b>This reading is 15.8 times higher </br>than the EPA Risk Threshold.</b>"
2022-06-29,"Vermont Ave. and 70th St. (PQ100)",0.027,2.7,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-06-29<b>   Observation:</b> 0.027 ng/m3</br></br><b>This reading is 2.7 times higher </br>than the EPA Risk Threshold.</b>"
2022-07-05,"Vermont Ave. and 70th St. (PQ100)",0.017,1.7,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-07-05<b>   Observation:</b> 0.017 ng/m3</br></br><b>This reading is 1.7 times higher </br>than the EPA Risk Threshold.</b>"
2022-07-07,"Vermont Ave. and 70th St. (PQ100)",0.105,10.5,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-07-07<b>   Observation:</b> 0.105 ng/m3</br></br><b>This reading is 10.5 times higher </br>than the EPA Risk Threshold.</b>"
2022-07-11,"Vermont Ave. and 70th St. (PQ100)",0.0201,2.01,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-07-11<b>   Observation:</b> 0.0201 ng/m3</br></br><b>This reading is 2.01 times higher </br>than the EPA Risk Threshold.</b>"
2022-07-14,"Vermont Ave. and 70th St. (PQ100)",0.0245,2.45,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-07-14<b>   Observation:</b> 0.0245 ng/m3</br></br><b>This reading is 2.45 times higher </br>than the EPA Risk Threshold.</b>"
2022-07-16,"Vermont Ave. and 70th St. (PQ100)",0.0354,3.54,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-07-16<b>   Observation:</b> 0.0354 ng/m3</br></br><b>This reading is 3.54 times higher </br>than the EPA Risk Threshold.</b>"
2022-07-21,"Vermont Ave. and 70th St. (PQ100)",0.0688,6.88,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-07-21<b>   Observation:</b> 0.0688 ng/m3</br></br><b>This reading is 6.88 times higher </br>than the EPA Risk Threshold.</b>"
2022-07-24,"Vermont Ave. and 70th St. (PQ100)",0.0642,6.42,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-07-24<b>   Observation:</b> 0.0642 ng/m3</br></br><b>This reading is 6.42 times higher </br>than the EPA Risk Threshold.</b>"
2022-07-29,"Vermont Ave. and 70th St. (PQ100)",0.0292,2.92,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-07-29<b>   Observation:</b> 0.0292 ng/m3</br></br><b>This reading is 2.92 times higher </br>than the EPA Risk Threshold.</b>"
2022-08-03,"Vermont Ave. and 70th St. (PQ100)",0.0688,6.88,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-08-03<b>   Observation:</b> 0.0688 ng/m3</br></br><b>This reading is 6.88 times higher </br>than the EPA Risk Threshold.</b>"
2022-08-09,"Vermont Ave. and 70th St. (PQ100)",0.0332,3.32,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-08-09<b>   Observation:</b> 0.0332 ng/m3</br></br><b>This reading is 3.32 times higher </br>than the EPA Risk Threshold.</b>"
2022-08-12,"Vermont Ave. and 70th St. (PQ100)",0.0402,4.02,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-08-12<b>   Observation:</b> 0.0402 ng/m3</br></br><b>This reading is 4.02 times higher </br>than the EPA Risk Threshold.</b>"
2022-08-15,"Vermont Ave. and 70th St. (PQ100)",0.0708,7.08,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-08-15<b>   Observation:</b> 0.0708 ng/m3</br></br><b>This reading is 7.08 times higher </br>than the EPA Risk Threshold.</b>"
2022-08-21,"Vermont Ave. and 70th St. (PQ100)",0.127,12.7,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-08-21<b>   Observation:</b> 0.127 ng/m3</br></br><b>This reading is 12.7 times higher </br>than the EPA Risk Threshold.</b>"
2022-08-24,"Vermont Ave. and 70th St. (PQ100)",0.0304,3.04,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-08-24<b>   Observation:</b> 0.0304 ng/m3</br></br><b>This reading is 3.04 times higher </br>than the EPA Risk Threshold.</b>"
2022-08-27,"Vermont Ave. and 70th St. (PQ100)",0.0447,4.47,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-08-27<b>   Observation:</b> 0.0447 ng/m3</br></br><b>This reading is 4.47 times higher </br>than the EPA Risk Threshold.</b>"
2022-08-30,"Vermont Ave. and 70th St. (PQ100)",0.0494,4.94,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-08-30<b>   Observation:</b> 0.0494 ng/m3</br></br><b>This reading is 4.94 times higher </br>than the EPA Risk Threshold.</b>"
2022-09-02,"Vermont Ave. and 70th St. (PQ100)",0.0367,3.67,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-09-02<b>   Observation:</b> 0.0367 ng/m3</br></br><b>This reading is 3.67 times higher </br>than the EPA Risk Threshold.</b>"
2022-09-05,"Vermont Ave. and 70th St. (PQ100)",0.068,6.8,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-09-05<b>   Observation:</b> 0.068 ng/m3</br></br><b>This reading is 6.8 times higher </br>than the EPA Risk Threshold.</b>"
2022-09-08,"Vermont Ave. and 70th St. (PQ100)",0.036,3.6,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-09-08<b>   Observation:</b> 0.036 ng/m3</br></br><b>This reading is 3.6 times higher </br>than the EPA Risk Threshold.</b>"
2022-09-11,"Vermont Ave. and 70th St. (PQ100)",0.0805,8.05,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-09-11<b>   Observation:</b> 0.0805 ng/m3</br></br><b>This reading is 8.05 times higher </br>than the EPA Risk Threshold.</b>"
2022-09-14,"Vermont Ave. and 70th St. (PQ100)",0.0495,4.95,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-09-14<b>   Observation:</b> 0.0495 ng/m3</br></br><b>This reading is 4.95 times higher </br>than the EPA Risk Threshold.</b>"
2022-09-17,"Vermont Ave. and 70th St. (PQ100)",0.0287,2.87,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-09-17<b>   Observation:</b> 0.0287 ng/m3</br></br><b>This reading is 2.87 times higher </br>than the EPA Risk Threshold.</b>"
2022-09-20,"Vermont Ave. and 70th St. (PQ100)",0.0255,2.55,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-09-20<b>   Observation:</b> 0.0255 ng/m3</br></br><b>This reading is 2.55 times higher </br>than the EPA Risk Threshold.</b>"
2022-09-23,"Vermont Ave. and 70th St. (PQ100)",0.0921,9.21,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-09-23<b>   Observation:</b> 0.0921 ng/m3</br></br><b>This reading is 9.21 times higher </br>than the EPA Risk Threshold.</b>"
2022-09-29,"Vermont Ave. and 70th St. (PQ100)",0.199,19.9,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-09-29<b>   Observation:</b> 0.199 ng/m3</br></br><b>This reading is 19.9 times higher </br>than the EPA Risk Threshold.</b>"
2022-10-02,"Vermont Ave. and 70th St. (PQ100)",0.147,14.7,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-10-02<b>   Observation:</b> 0.147 ng/m3</br></br><b>This reading is 14.7 times higher </br>than the EPA Risk Threshold.</b>"
2022-10-05,"Vermont Ave. and 70th St. (PQ100)",0.0879,8.79,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-10-05<b>   Observation:</b> 0.0879 ng/m3</br></br><b>This reading is 8.79 times higher </br>than the EPA Risk Threshold.</b>"
2022-10-08,"Vermont Ave. and 70th St. (PQ100)",0.0407,4.07,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-10-08<b>   Observation:</b> 0.0407 ng/m3</br></br><b>This reading is 4.07 times higher </br>than the EPA Risk Threshold.</b>"
2022-10-14,"Vermont Ave. and 70th St. (PQ100)",0.148,14.8,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-10-14<b>   Observation:</b> 0.148 ng/m3</br></br><b>This reading is 14.8 times higher </br>than the EPA Risk Threshold.</b>"
2022-10-17,"Vermont Ave. and 70th St. (PQ100)",0.207,20.7,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-10-17<b>   Observation:</b> 0.207 ng/m3</br></br><b>This reading is 20.7 times higher </br>than the EPA Risk Threshold.</b>"
2022-10-20,"Vermont Ave. and 70th St. (PQ100)",0.0988,9.88,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-10-20<b>   Observation:</b> 0.0988 ng/m3</br></br><b>This reading is 9.88 times higher </br>than the EPA Risk Threshold.</b>"
2022-10-23,"Vermont Ave. and 70th St. (PQ100)",0.0527,5.27,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-10-23<b>   Observation:</b> 0.0527 ng/m3</br></br><b>This reading is 5.27 times higher </br>than the EPA Risk Threshold.</b>"
2022-10-26,"Vermont Ave. and 70th St. (PQ100)",0.134,13.4,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-10-26<b>   Observation:</b> 0.134 ng/m3</br></br><b>This reading is 13.4 times higher </br>than the EPA Risk Threshold.</b>"
2022-10-29,"Vermont Ave. and 70th St. (PQ100)",0.0616,6.16,"<b>Air Monitor:</b> Vermont Ave. and 70th St. (PQ100)</br></br><b>Date:</b> 2022-10-29<b>   Observation:</b> 0.0616 ng/m3</br></br><b>This reading is 6.16 times higher </br>than the EPA Risk Threshold.</b>"
